{'lipoC2': 7.75, 'temp': 23.69, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 14:15:05.911382', 'mgs': 0, 'depth': 1.614, 'time': 1.26, 'pitch': -4.73, 'roll': -37.7}
{'lipoC2': 7.75, 'temp': 23.69, 'lipoC3S3': 11.68, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.24, 'datetime': '2018-10-12 14:15:05.928479', 'mgs': 0, 'depth': 1.614, 'time': 1.36, 'pitch': -5.01, 'roll': -37.49}
{'lipoC2': 7.75, 'temp': 23.69, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.41, 'datetime': '2018-10-12 14:15:05.945586', 'mgs': 0, 'depth': 1.614, 'time': 1.45, 'pitch': -5.23, 'roll': -37.17}
{'lipoC2': 7.73, 'temp': 23.69, 'lipoC3S3': 11.68, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.45, 'datetime': '2018-10-12 14:15:05.962739', 'mgs': 0, 'depth': 1.691, 'time': 1.55, 'pitch': -5.37, 'roll': -36.9}
{'lipoC2': 7.75, 'temp': 23.69, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.37, 'datetime': '2018-10-12 14:15:05.979832', 'mgs': 0, 'depth': 1.614, 'time': 1.65, 'pitch': -5.44, 'roll': -36.62}
{'lipoC2': 7.75, 'temp': 23.69, 'lipoC3S3': 11.68, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.18, 'datetime': '2018-10-12 14:15:05.997001', 'mgs': 0, 'depth': 1.691, 'time': 1.75, 'pitch': -5.48, 'roll': -36.31}
{'lipoC2': 7.75, 'temp': 23.69, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.14, 'datetime': '2018-10-12 14:15:06.015714', 'mgs': 0, 'depth': 1.614, 'time': 1.85, 'pitch': -5.47, 'roll': -36.0}
{'lipoC2': 7.75, 'temp': 23.69, 'lipoC3S3': 11.68, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.49, 'datetime': '2018-10-12 14:15:06.112090', 'mgs': 0, 'depth': 1.691, 'time': 1.94, 'pitch': -5.42, 'roll': -35.89}
{'lipoC2': 7.75, 'temp': 23.69, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.93, 'datetime': '2018-10-12 14:15:06.210409', 'mgs': 0, 'depth': 1.614, 'time': 2.04, 'pitch': -5.4, 'roll': -35.85}
{'lipoC2': 7.75, 'temp': 23.69, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.37, 'datetime': '2018-10-12 14:15:06.307957', 'mgs': 0, 'depth': 1.614, 'time': 2.14, 'pitch': -5.43, 'roll': -35.58}
{'lipoC2': 7.75, 'temp': 23.69, 'lipoC3S3': 11.68, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.75, 'datetime': '2018-10-12 14:15:06.404976', 'mgs': 0, 'depth': 1.691, 'time': 2.23, 'pitch': -5.48, 'roll': -35.07}
