{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.76, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 14:07:40.941119', 'mgs': 0, 'depth': 2.225, 'time': 1.26, 'pitch': -0.3, 'roll': -6.85}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.76, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 14:07:40.957805', 'mgs': 0, 'depth': 2.148, 'time': 1.36, 'pitch': -0.19, 'roll': -6.75}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.15, 'datetime': '2018-10-12 14:07:40.974455', 'mgs': 0, 'depth': 2.148, 'time': 1.46, 'pitch': -0.21, 'roll': -7.3}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.76, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.32, 'datetime': '2018-10-12 14:07:40.991167', 'mgs': 0, 'depth': 2.148, 'time': 1.55, 'pitch': -0.37, 'roll': -8.15}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.33, 'datetime': '2018-10-12 14:07:41.062375', 'mgs': 0, 'depth': 2.148, 'time': 1.65, 'pitch': -0.48, 'roll': -8.51}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.26, 'datetime': '2018-10-12 14:07:41.163681', 'mgs': 0, 'depth': 2.225, 'time': 1.75, 'pitch': -0.58, 'roll': -8.57}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.08, 'datetime': '2018-10-12 14:07:41.262095', 'mgs': 0, 'depth': 2.148, 'time': 1.85, 'pitch': -0.69, 'roll': -8.53}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.19, 'datetime': '2018-10-12 14:07:41.359033', 'mgs': 0, 'depth': 2.148, 'time': 1.94, 'pitch': -0.86, 'roll': -8.49}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.37, 'datetime': '2018-10-12 14:07:41.456934', 'mgs': 0, 'depth': 2.148, 'time': 2.04, 'pitch': -1.13, 'roll': -8.62}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.55, 'datetime': '2018-10-12 14:07:41.553966', 'mgs': 0, 'depth': 2.225, 'time': 2.14, 'pitch': -1.52, 'roll': -8.97}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.75, 'datetime': '2018-10-12 14:07:41.651008', 'mgs': 0, 'depth': 2.225, 'time': 2.24, 'pitch': -1.91, 'roll': -9.3}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.94, 'datetime': '2018-10-12 14:07:41.743590', 'mgs': 0, 'depth': 2.301, 'time': 2.33, 'pitch': -2.24, 'roll': -9.38}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.24, 'datetime': '2018-10-12 14:07:41.840684', 'mgs': 0, 'depth': 2.301, 'time': 2.43, 'pitch': -2.48, 'roll': -9.16}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.57, 'datetime': '2018-10-12 14:07:41.937645', 'mgs': 0, 'depth': 2.301, 'time': 2.53, 'pitch': -2.57, 'roll': -8.81}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.68, 'datetime': '2018-10-12 14:07:42.038649', 'mgs': 0, 'depth': 2.377, 'time': 2.62, 'pitch': -2.71, 'roll': -8.84}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.61, 'datetime': '2018-10-12 14:07:42.136250', 'mgs': 0, 'depth': 2.377, 'time': 2.72, 'pitch': -2.9, 'roll': -9.24}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.55, 'datetime': '2018-10-12 14:07:42.233319', 'mgs': 0, 'depth': 2.454, 'time': 2.82, 'pitch': -2.95, 'roll': -9.61}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.76, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.7, 'datetime': '2018-10-12 14:07:42.330682', 'mgs': 0, 'depth': 2.301, 'time': 2.92, 'pitch': -2.74, 'roll': -9.7}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.76, 'datetime': '2018-10-12 14:07:42.429229', 'mgs': 0, 'depth': 2.377, 'time': 3.01, 'pitch': -2.52, 'roll': -9.77}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.64, 'datetime': '2018-10-12 14:07:42.527266', 'mgs': 0, 'depth': 2.454, 'time': 3.11, 'pitch': -2.28, 'roll': -9.87}
{'lipoC2': 7.78, 'temp': 23.56, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.37, 'datetime': '2018-10-12 14:07:42.624087', 'mgs': 0, 'depth': 2.377, 'time': 3.21, 'pitch': -2.08, 'roll': -10.06}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.11, 'datetime': '2018-10-12 14:07:42.721132', 'mgs': 0, 'depth': 2.377, 'time': 3.31, 'pitch': -1.84, 'roll': -10.71}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.96, 'datetime': '2018-10-12 14:07:42.819494', 'mgs': 0, 'depth': 2.454, 'time': 3.4, 'pitch': -1.57, 'roll': -11.26}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.78, 'datetime': '2018-10-12 14:07:42.917450', 'mgs': 0, 'depth': 2.377, 'time': 3.5, 'pitch': -1.33, 'roll': -11.38}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.74, 'datetime': '2018-10-12 14:07:43.014433', 'mgs': 0, 'depth': 2.377, 'time': 3.6, 'pitch': -1.01, 'roll': -11.36}
{'lipoC2': 7.77, 'temp': 23.5, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.79, 'datetime': '2018-10-12 14:07:43.111807', 'mgs': 0, 'depth': 2.301, 'time': 3.7, 'pitch': -0.63, 'roll': -11.18}
{'lipoC2': 7.77, 'temp': 23.5, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.75, 'datetime': '2018-10-12 14:07:43.208870', 'mgs': 0, 'depth': 2.377, 'time': 3.8, 'pitch': -0.41, 'roll': -11.08}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.64, 'datetime': '2018-10-12 14:07:43.303043', 'mgs': 0, 'depth': 2.377, 'time': 3.89, 'pitch': -0.32, 'roll': -10.89}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.37, 'datetime': '2018-10-12 14:07:43.402915', 'mgs': 0, 'depth': 2.225, 'time': 3.99, 'pitch': -0.43, 'roll': -10.86}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.24, 'datetime': '2018-10-12 14:07:43.499954', 'mgs': 0, 'depth': 2.301, 'time': 4.09, 'pitch': -0.47, 'roll': -11.03}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.31, 'datetime': '2018-10-12 14:07:43.596883', 'mgs': 0, 'depth': 2.301, 'time': 4.18, 'pitch': -0.42, 'roll': -11.09}
